filename,num_alpha_dihedrals,alpha_dihedral_score,num_beta_dihedrals,beta_dihedral_score,ranking_score,cluster_single,cluster_size_single,cluster_average,cluster_size_average,cluster_maximum,cluster_size_maximum,cluster_pairs_min,cluster_size_pairs_min,cluster_pairs_abs,cluster_size_pairs_abs,num_pairs,rmsd,maxsub,tm,msi,filename_experimental,L_experiment,L_prediction,L_joint,L_normalization
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.99_3_hMIN.pdb,131,54.599999999999994,25,12.200000000000001,0.41490683229813663,57,59,37,59,48,19,0,59,3,8,213,3.573,0.607,0.6759999999999999,0.607,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.99_5_hMIN.pdb,131,41.2,21,6.8,0.2981366459627329,57,59,37,59,48,19,0,59,3,8,208,3.605,0.591,0.6729999999999999,0.591,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.9_10_hMIN.pdb,131,49.99999999999999,28,11.400000000000002,0.3813664596273291,57,59,37,59,48,19,1,54,1,50,211,3.62,0.594,0.672,0.594,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.9_4_hMIN.pdb,131,38.2,23,8.4,0.2894409937888199,57,59,37,59,48,19,1,54,3,8,217,3.7060000000000004,0.608,0.6709999999999999,0.608,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_461_5_hMIN.pdb,131,59.00000000000001,25,11.8,0.43975155279503114,57,59,37,59,42,19,1,54,1,50,204,3.509,0.5870000000000001,0.6679999999999999,0.5870000000000001,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_461_1_hMIN.pdb,131,63.8,25,12.799999999999999,0.4757763975155279,57,59,37,59,42,19,1,54,1,50,201,3.3789999999999996,0.585,0.665,0.585,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.99_7_hMIN.pdb,131,41.2,22,13.600000000000001,0.3403726708074534,57,59,37,59,48,19,1,54,1,50,216,3.795,0.596,0.6629999999999999,0.596,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.99_9_hMIN.pdb,131,55.199999999999996,19,6.2,0.3813664596273292,57,59,37,59,48,19,1,54,1,50,204,3.551,0.583,0.6629999999999999,0.583,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.99_8_hMIN.pdb,131,58.800000000000004,21,8.8,0.41987577639751555,57,59,37,59,48,19,1,54,1,50,191,3.398,0.557,0.659,0.557,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_362_7_hMIN.pdb,131,57.400000000000006,26,9.600000000000001,0.4161490683229814,57,59,37,59,46,14,1,54,1,50,195,3.102,0.586,0.6579999999999999,0.586,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_461_2_hMIN.pdb,131,68.8,22,9.6,0.4869565217391304,57,59,37,59,42,19,1,54,1,50,210,3.798,0.579,0.657,0.579,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_428_2_hMIN.pdb,131,55.2,24,8.4,0.39503105590062115,57,59,37,59,42,19,1,54,1,50,205,3.657,0.5770000000000001,0.6559999999999999,0.5770000000000001,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_428_1_hMIN.pdb,131,48.2,24,9.799999999999999,0.36024844720496896,57,59,37,59,42,19,1,54,1,50,204,3.55,0.581,0.652,0.581,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_428_4_hMIN.pdb,131,59.80000000000001,26,8.799999999999999,0.42608695652173917,57,59,37,59,42,19,1,54,1,50,189,3.234,0.562,0.6509999999999999,0.562,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_significant_ECs_0.9_5_hMIN.pdb,131,43.8,25,9.8,0.33291925465838507,57,59,37,59,48,19,0,59,3,8,206,3.85,0.561,0.65,0.561,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
58889589483bd216ebea70b7a94b4369_b0.2/fold/58889589483bd216ebea70b7a94b4369_b0.2_461_9_hMIN.pdb,131,58.6,21,7.3999999999999995,0.40993788819875776,57,59,37,59,42,19,1,54,1,50,196,3.444,0.568,0.6459999999999999,0.568,58889589483bd216ebea70b7a94b4369_b0.2/compare/aux/58889589483bd216ebea70b7a94b4369_b0.2_2p9h_A_41.pdb,269,327,269,269
